followers,following,public_repos,public_gists,account_created_at,account_age_days,bio_length,hireable,site_admin,type,popularity_score,follower_following_ratio,influence_score,total_projects,project_density,repo_gist_ratio,experience_score,repos_per_year,has_bio,has_company,has_location,profile_completeness,engagement_index,productivity_proxy,influence_density
974,0,0,0,2016-02-09 22:54:25+00:00,3650,0,0,0,User,6.882437471,974,681.8,0,0,0,8.202756382,0,0,0,0,0,974,0,974
611,1,55,17,2011-11-05 13:33:24+00:00,5208,79,1,0,User,6.416732283,305.5,428,72,0.013822231,3.055555556,8.558143178,3.602189126,1,1,1,4,706,470.6978748,10.91071429
148,1,3,0,2015-09-16 09:06:09+00:00,3797,0,0,0,User,5.003946306,74,103.9,3,0.000789889,3,8.242229891,0.263094666,0,1,0,1,161,24.72668967,37
556,0,39,2,2010-07-30 04:46:49+00:00,5671,12,0,0,User,6.32256524,556,389.2,41,0.007228491,13,8.643297068,2.358349901,1,1,1,3,625,337.0885857,13.9
947,366,98,4,2010-07-05 11:26:31+00:00,5696,151,0,0,User,6.854354502,2.580381471,772.7,102,0.01790416,19.6,8.647694999,5.901666392,1,1,1,3,1075,847.4741099,9.565656566
687,0,38,0,2014-03-12 17:10:12+00:00,4349,64,1,0,User,6.533788838,687,480.9,38,0.008735632,38,8.377931124,2.942299533,1,0,1,3,755,318.3613827,17.61538462
383,1,8,6,2014-06-20 21:35:06+00:00,4249,0,0,0,User,5.950642553,191.5,268.4,14,0.003294118,1.142857143,8.354674262,0.632856524,0,0,1,1,401,66.8373941,42.55555556
426,67,36,7,2016-01-21 19:40:26+00:00,3669,26,0,0,User,6.056784013,6.264705882,318.3,43,0.011716621,4.5,8.207946941,3.257312841,1,1,0,2,482,295.4860899,11.51351351
606,9,28,3,2010-01-29 08:56:23+00:00,5853,0,0,0,User,6.408528791,60.6,426.9,31,0.005295524,7,8.674880467,1.64361531,0,0,1,1,644,242.8966531,20.89655172
203,29,43,13,2010-07-30 05:30:25+00:00,5671,0,0,0,User,5.318119994,6.766666667,150.8,56,0.009873061,3.071428571,8.643297068,2.600231942,0,1,0,1,256,371.6617739,4.613636364
11,1,0,0,2014-03-30 10:15:06+00:00,4332,0,0,0,User,2.48490665,5.5,8,0,0,0,8.374015422,0,0,0,0,0,11,0,11
518,0,14,0,2014-03-16 23:07:26+00:00,4345,0,0,0,User,6.251903883,518,362.6,14,0.003221353,14,8.377011161,1.08492569,0,0,0,0,532,117.2781563,34.53333333
158,1,46,8,2011-04-03 15:15:38+00:00,5424,0,0,0,User,5.068904202,79,110.9,54,0.009953917,5.111111111,8.598773178,2.900328209,0,1,0,1,214,395.5435662,3.361702128
273,13,15,0,2013-07-30 06:41:40+00:00,4575,51,0,0,User,5.613128106,19.5,195,15,0.003277972,15,8.428580533,1.108299595,1,1,1,3,318,126.428708,17.0625
